ts_code,symbol,name,area,industry
CRWD,CRWD,CrowdStrike,US,Information Technology
CCI,CCI,Crown Castle,US,Real Estate
CSX,CSX,CSX Corporation,US,Industrials
CMI,CMI,Cummins,US,Industrials
CVS,CVS,CVS Health,US,Health Care
DHR,DHR,Danaher Corporation,US,Health Care
DRI,DRI,Darden Restaurants,US,Consumer Discretionary
DDOG,DDOG,Datadog,US,Information Technology
DVA,DVA,DaVita,US,Health Care
DECK,DECK,Deckers Brands,US,Consumer Discretionary
DE,DE,Deere & Company,US,Industrials
DELL,DELL,Dell Technologies,US,Information Technology
DAL,DAL,Delta Air Lines,US,Industrials
DVN,DVN,Devon Energy,US,Energy
DXCM,DXCM,Dexcom,US,Health Care
FANG,FANG,Diamondback Energy,US,Energy
DLR,DLR,Digital Realty,US,Real Estate
DG,DG,Dollar General,US,Consumer Staples
DLTR,DLTR,Dollar Tree,US,Consumer Staples
D,D,Dominion Energy,US,Utilities
DPZ,DPZ,Domino's,US,Consumer Discretionary
DASH,DASH,DoorDash,US,Consumer Discretionary
DOV,DOV,Dover Corporation,US,Industrials
DOW,DOW,Dow Inc.,US,Materials
DHI,DHI,D. R. Horton,US,Consumer Discretionary
DTE,DTE,DTE Energy,US,Utilities
DUK,DUK,Duke Energy,US,Utilities
DD,DD,DuPont,US,Materials
ETN,ETN,Eaton Corporation,US,Industrials
EBAY,EBAY,eBay Inc.,US,Consumer Discretionary
SATS,SATS,EchoStar,US,Communication Services
ECL,ECL,Ecolab,US,Materials
EIX,EIX,Edison International,US,Utilities
EW,EW,Edwards Lifesciences,US,Health Care
EA,EA,Electronic Arts,US,Communication Services
ELV,ELV,Elevance Health,US,Health Care
EME,EME,Emcor,US,Industrials
EMR,EMR,Emerson Electric,US,Industrials
ETR,ETR,Entergy,US,Utilities
EOG,EOG,EOG Resources,US,Energy
EPAM,EPAM,EPAM Systems,US,Information Technology
EQT,EQT,EQT Corporation,US,Energy
EFX,EFX,Equifax,US,Industrials
EQIX,EQIX,Equinix,US,Real Estate
EQR,EQR,Equity Residential,US,Real Estate
ERIE,ERIE,Erie Indemnity,US,Financials
ESS,ESS,Essex Property Trust,US,Real Estate
EL,EL,Estée Lauder Companies (The),US,Consumer Staples
EG,EG,Everest Group,US,Financials
EVRG,EVRG,Evergy,US,Utilities
ES,ES,Eversource Energy,US,Utilities
EXC,EXC,Exelon,US,Utilities
EXE,EXE,Expand Energy,US,Energy
EXPE,EXPE,Expedia Group,US,Consumer Discretionary
EXPD,EXPD,Expeditors International,US,Industrials
EXR,EXR,Extra Space Storage,US,Real Estate
XOM,XOM,ExxonMobil,US,Energy
FFIV,FFIV,"F5, Inc.",US,Information Technology
FDS,FDS,FactSet,US,Financials
FICO,FICO,Fair Isaac,US,Information Technology
FAST,FAST,Fastenal,US,Industrials
FRT,FRT,Federal Realty Investment Trust,US,Real Estate
FDX,FDX,FedEx,US,Industrials
FIS,FIS,Fidelity National Information Services,US,Financials
FITB,FITB,Fifth Third Bancorp,US,Financials
FSLR,FSLR,First Solar,US,Information Technology
FE,FE,FirstEnergy,US,Utilities
FISV,FISV,Fiserv,US,Financials
F,F,Ford Motor Company,US,Consumer Discretionary
FTNT,FTNT,Fortinet,US,Information Technology
FTV,FTV,Fortive,US,Industrials
FOXA,FOXA,Fox Corporation (Class A),US,Communication Services
FOX,FOX,Fox Corporation (Class B),US,Communication Services
BEN,BEN,Franklin Resources,US,Financials
FCX,FCX,Freeport-McMoRan,US,Materials
GRMN,GRMN,Garmin,US,Consumer Discretionary
IT,IT,Gartner,US,Information Technology
GE,GE,GE Aerospace,US,Industrials
GEHC,GEHC,GE HealthCare,US,Health Care
GEV,GEV,GE Vernova,US,Industrials
GEN,GEN,Gen Digital,US,Information Technology
GNRC,GNRC,Generac,US,Industrials
GD,GD,General Dynamics,US,Industrials
GIS,GIS,General Mills,US,Consumer Staples
GM,GM,General Motors,US,Consumer Discretionary
GPC,GPC,Genuine Parts Company,US,Consumer Discretionary
GILD,GILD,Gilead Sciences,US,Health Care
GPN,GPN,Global Payments,US,Financials
GL,GL,Globe Life,US,Financials
GDDY,GDDY,GoDaddy,US,Information Technology
GS,GS,Goldman Sachs,US,Financials
HAL,HAL,Halliburton,US,Energy
HIG,HIG,Hartford (The),US,Financials
HAS,HAS,Hasbro,US,Consumer Discretionary
HCA,HCA,HCA Healthcare,US,Health Care
DOC,DOC,Healthpeak Properties,US,Real Estate
HSIC,HSIC,Henry Schein,US,Health Care
HSY,HSY,Hershey Company (The),US,Consumer Staples
HPE,HPE,Hewlett Packard Enterprise,US,Information Technology
HLT,HLT,Hilton Worldwide,US,Consumer Discretionary
HD,HD,Home Depot (The),US,Consumer Discretionary
HON,HON,Honeywell,US,Industrials
HRL,HRL,Hormel Foods,US,Consumer Staples
HST,HST,Host Hotels & Resorts,US,Real Estate
HWM,HWM,Howmet Aerospace,US,Industrials
HPQ,HPQ,HP Inc.,US,Information Technology
HUBB,HUBB,Hubbell Incorporated,US,Industrials
HUM,HUM,Humana,US,Health Care
HBAN,HBAN,Huntington Bancshares,US,Financials
HII,HII,Huntington Ingalls Industries,US,Industrials
IBM,IBM,IBM,US,Information Technology
IEX,IEX,IDEX Corporation,US,Industrials
IDXX,IDXX,Idexx Laboratories,US,Health Care
ITW,ITW,Illinois Tool Works,US,Industrials
INCY,INCY,Incyte,US,Health Care
IR,IR,Ingersoll Rand,US,Industrials
PODD,PODD,Insulet Corporation,US,Health Care
INTC,INTC,Intel,US,Information Technology
IBKR,IBKR,Interactive Brokers,US,Financials
ICE,ICE,Intercontinental Exchange,US,Financials
IFF,IFF,International Flavors & Fragrances,US,Materials
IP,IP,International Paper,US,Materials
INTU,INTU,Intuit,US,Information Technology
ISRG,ISRG,Intuitive Surgical,US,Health Care
IVZ,IVZ,Invesco,US,Financials
INVH,INVH,Invitation Homes,US,Real Estate
IQV,IQV,IQVIA,US,Health Care
IRM,IRM,Iron Mountain,US,Real Estate
JBHT,JBHT,J.B. Hunt,US,Industrials
JBL,JBL,Jabil,US,Information Technology
JKHY,JKHY,Jack Henry & Associates,US,Financials
J,J,Jacobs Solutions,US,Industrials
JNJ,JNJ,Johnson & Johnson,US,Health Care
JCI,JCI,Johnson Controls,US,Industrials
JPM,JPM,JPMorgan Chase,US,Financials
KVUE,KVUE,Kenvue,US,Consumer Staples
KDP,KDP,Keurig Dr Pepper,US,Consumer Staples
KEY,KEY,KeyCorp,US,Financials
KEYS,KEYS,Keysight Technologies,US,Information Technology
KMB,KMB,Kimberly-Clark,US,Consumer Staples
KIM,KIM,Kimco Realty,US,Real Estate
KMI,KMI,Kinder Morgan,US,Energy
KKR,KKR,KKR & Co.,US,Financials
KLAC,KLAC,KLA Corporation,US,Information Technology
KHC,KHC,Kraft Heinz,US,Consumer Staples
KR,KR,Kroger,US,Consumer Staples
LHX,LHX,L3Harris,US,Industrials
LH,LH,Labcorp,US,Health Care
LRCX,LRCX,Lam Research,US,Information Technology
LVS,LVS,Las Vegas Sands,US,Consumer Discretionary
LDOS,LDOS,Leidos,US,Industrials
LEN,LEN,Lennar,US,Consumer Discretionary
LII,LII,Lennox International,US,Industrials
LLY,LLY,Lilly (Eli),US,Health Care
LIN,LIN,Linde plc,US,Materials
LYV,LYV,Live Nation Entertainment,US,Communication Services
LMT,LMT,Lockheed Martin,US,Industrials
L,L,Loews Corporation,US,Financials
LOW,LOW,Lowe's,US,Consumer Discretionary
LULU,LULU,Lululemon Athletica,US,Consumer Discretionary
LITE,LITE,Lumentum,US,Information Technology
LYB,LYB,LyondellBasell,US,Materials
MTB,MTB,M&T Bank,US,Financials
MPC,MPC,Marathon Petroleum,US,Energy
MAR,MAR,Marriott International,US,Consumer Discretionary
MRSH,MRSH,Marsh McLennan,US,Financials
MLM,MLM,Martin Marietta Materials,US,Materials
MAS,MAS,Masco,US,Industrials
MA,MA,Mastercard,US,Financials
MKC,MKC,McCormick & Company,US,Consumer Staples
MCD,MCD,McDonald's,US,Consumer Discretionary
MCK,MCK,McKesson Corporation,US,Health Care
MDT,MDT,Medtronic,US,Health Care
MRK,MRK,Merck & Co.,US,Health Care
META,META,Meta Platforms,US,Communication Services
MET,MET,MetLife,US,Financials
MTD,MTD,Mettler Toledo,US,Health Care
MGM,MGM,MGM Resorts,US,Consumer Discretionary
MCHP,MCHP,Microchip Technology,US,Information Technology
MU,MU,Micron Technology,US,Information Technology
MSFT,MSFT,Microsoft,US,Information Technology
MAA,MAA,Mid-America Apartment Communities,US,Real Estate
MRNA,MRNA,Moderna,US,Health Care
TAP,TAP,Molson Coors Beverage Company,US,Consumer Staples
MDLZ,MDLZ,Mondelez International,US,Consumer Staples
MPWR,MPWR,Monolithic Power Systems,US,Information Technology
MNST,MNST,Monster Beverage,US,Consumer Staples
MCO,MCO,Moody's Corporation,US,Financials
MS,MS,Morgan Stanley,US,Financials
MOS,MOS,Mosaic Company (The),US,Materials
MSI,MSI,Motorola Solutions,US,Information Technology
MSCI,MSCI,MSCI Inc.,US,Financials
NDAQ,NDAQ,"Nasdaq, Inc.",US,Financials
NTAP,NTAP,NetApp,US,Information Technology
NFLX,NFLX,Netflix,US,Communication Services
NEM,NEM,Newmont,US,Materials
NWSA,NWSA,News Corp (Class A),US,Communication Services
NWS,NWS,News Corp (Class B),US,Communication Services
NEE,NEE,NextEra Energy,US,Utilities
NKE,NKE,"Nike, Inc.",US,Consumer Discretionary
NI,NI,NiSource,US,Utilities
NDSN,NDSN,Nordson Corporation,US,Industrials
NSC,NSC,Norfolk Southern,US,Industrials
NTRS,NTRS,Northern Trust,US,Financials
NOC,NOC,Northrop Grumman,US,Industrials
NCLH,NCLH,Norwegian Cruise Line Holdings,US,Consumer Discretionary
NRG,NRG,NRG Energy,US,Utilities
NUE,NUE,Nucor,US,Materials
NVDA,NVDA,Nvidia,US,Information Technology
NVR,NVR,"NVR, Inc.",US,Consumer Discretionary
NXPI,NXPI,NXP Semiconductors,US,Information Technology
ORLY,ORLY,O’Reilly Automotive,US,Consumer Discretionary
OXY,OXY,Occidental Petroleum,US,Energy
ODFL,ODFL,Old Dominion,US,Industrials
OMC,OMC,Omnicom Group,US,Communication Services
ON,ON,ON Semiconductor,US,Information Technology
OKE,OKE,Oneok,US,Energy
ORCL,ORCL,Oracle Corporation,US,Information Technology
